Date,Time,Species Name,Accuracy
2023-08-01,20:16:42,Labrador retriever,0.76720244
2024-02-05,12:17:58,mantis,0.36574808
2024-02-05,12:18:36,weevil,0.18569559
2024-02-05,12:19:13,tiger,0.67719877
2024-02-05,12:19:43,red fox,0.71878076
2024-02-05,15:59:13,red fox,0.7174524
2024-02-05,16:03:59,hartebeest,0.704219
2024-02-05,16:10:45,tiger,0.67720443
2024-02-05,16:10:51,tiger,0.67720443
2024-02-05,16:14:14,hartebeest,0.704219
2024-02-07,17:59:00,tiger,0.67720443
2024-02-07,18:01:01,hartebeest,0.704219
2024-02-07,18:05:16,hen,0.9612797
2024-02-07,18:05:44,sorrel,0.88263786
2024-02-07,18:05:51,sorrel,0.88263786
2024-02-07,18:06:13,monarch,0.8451933
2024-02-07,18:06:44,sorrel,0.9128494
2024-02-07,18:07:05,banded gecko,0.74024993
2024-02-07,18:08:07,rotisserie,0.92477316
2024-02-07,18:08:34,tiger,0.67720443
2024-02-09,14:33:34,tiger,0.67720443
2024-02-09,16:02:17,mantis,0.36569375
2024-02-09,16:06:52,chainlink fence,0.3455362
2024-02-09,16:17:46,tarantula,0.79992133
2024-03-13,11:48:44,red fox,0.7174524
2024-03-28,10:55:08,red fox,0.7174524
2024-03-28,11:33:42,hartebeest,0.704219
2024-03-29,18:58:07,red fox,0.7174524
2024-04-25,14:47:22,zebra,0.969981
